"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Indication Class";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles"
"CHEMBL284906";"NICORANDIL";"IKOREL|NICORANDIL|SG-75|SIGMART";"SG-75";"4.0";"";"'-dil'";"1981";"vasodilators (undefined group)";"'-dil(-dil)'";"";"C01DX16";"C01DX - Other vasodilators used in cardiac diseases";"C01D - VASODILATORS USED IN CARDIAC DISEASES";"C01 - CARDIAC THERAPY";"C - CARDIOVASCULAR SYSTEM";"Vasodilator (coronary)";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=C(NCCO[N+](=O)[O-])c1cccnc1"
"CHEMBL159226";"MOXISYLYTE";"ACETOXYTHYMOXAMINE|CARLYTENE|ERECNOS|MOXISYLYTE|MOXISYLYTE HCL|MOXISYLYTE HYDROCHLORIDE|MOXIVIG|NSC-170448|THYMOXAMINE|THYMOXAMINE HCL|THYMOXAMINE HYDROCHLORIDE";"NSC-170448";"4.0";"";"";"";"";"";"";"G04BE06 | C04AX10";"G04BE - Drugs used in erectile dysfunction | C04AX - Other peripheral vasodilators";"G04B - UROLOGICALS | C04A - PERIPHERAL VASODILATORS";"G04 - UROLOGICALS | C04 - PERIPHERAL VASODILATORS";"G - GENITO URINARY SYSTEM AND SEX HORMONES | C - CARDIOVASCULAR SYSTEM";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Withdrawn";"CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C"
"CHEMBL2104993";"VORTIOXETINE";"BRINTELLIX|LU AA21004|LU-AA21004|LUAA21004|VORTIOXETINE";"LU AA21004|LU-AA21004|LUAA21004";"4.0";"Zydus Pharmaceuticals Usa Inc|Takeda Pharmaceuticals Usa Inc";"'-oxetine'";"2011";"antidepressants (fluoxetine type): thioether derivatives";"'-oxetine(-oxetine (-tioxetine))'";"2013";"N06AX26";"N06AX - Other antidepressants";"N06A - ANTIDEPRESSANTS";"N06 - PSYCHOANALEPTICS";"N - NERVOUS SYSTEM";"";"US-7144884-B2";"1:Synthetic Small Molecule";"1";"1";"Achiral Molecule";"0";"1";"0";"0";"1";"Prescription Only";"Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1"
"CHEMBL2109134";"MOLGRAMOSTIM";"GRANULOCYTE-MACROPHAGE COLONY-STIMULATING FACTOR MOLGRAMOSTIM|LEUCOMAX|MOLGRADEX|MOLGRAMOSTIM|MOLGRAMOSTIM (GENETICAL RECOMBINATION)|MOLGRAMOSTIM RDNA|SCH 39300|SCH-39300";"SCH 39300|SCH-39300";"4.0";"";"'-stim; -stim'";"1992";"colony-stimulating factors: granulocyte macrophage colony-stimulating factors (GM-CSF); colony-stimulating factors: macrophage colony-stimulating factors (M-CSF)";"'-stim(-stim (-gramostim)); -stim(-stim (-mostim))'";"";"L03AA03";"L03AA - Colony stimulating factors";"L03A - IMMUNOSTIMULANTS";"L03 - IMMUNOSTIMULANTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"Antineutropenic; Hematopoietic Stimulant";"None";"5:Oligopeptide";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";""
"CHEMBL649";"NADOLOL";"Corgard|NADOLOL|NSC-758430|SOLGOL|SQ 11725|SQ-11725";"NSC-758430|SQ 11725|SQ-11725";"4.0";"Amneal Pharmaceuticals Co Gmbh|Impax Laboratories Inc|King Pharmaceuticals Llc|Sandoz Inc|Uswm Llc|Invagen Pharmaceuticals Inc|Novast Laboratories Ltd|Vgyaan Pharmaceuticals Llc|Aurobindo Pharma Ltd|Mylan Pharmaceuticals Inc";"'-adol-; -olol'";"1976";"analgesics (mixed opiate receptor agonists/antagonists); beta-blockers (propranolol type)";"'-adol-(-adol-); -olol(-olol)'";"1979";"C07AA12";"C07AA - Beta blocking agents, non-selective";"C07A - BETA BLOCKING AGENTS";"C07 - BETA BLOCKING AGENTS";"C - CARDIOVASCULAR SYSTEM";"Anti-Adrenergic (beta-receptor)";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"1";"0";"0";"1";"Prescription Only";"CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2"
"CHEMBL1200381";"ARGININE HYDROCHLORIDE";"ARGININE HCL|ARGININE HYDROCHLORIDE|L-ARGININE HCL|L-ARGININE HYDROCHLORIDE|NSC-203450|NSC-7914|R-gene 10";"NSC-203450|NSC-7914";"4.0";"Pharmacia And Upjohn Co";"";"1970";"";"";"";"B05XB01";"B05XB - Amino acids";"B05X - I.V. SOLUTION ADDITIVES";"B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS";"B - BLOOD AND BLOOD FORMING ORGANS";"Ammonia Detoxicant";"None";"1:Synthetic Small Molecule";"0";"0";"Unknown";"0";"0";"1";"0";"0";"Prescription Only";"Cl.N=C(N)NCCC[C@H](N)C(=O)O"
"CHEMBL1898387";"MEXENONE";"BENZOPHENONE-10|MEXENONE|NSC-760432";"NSC-760432";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"COc1ccc(C(=O)c2ccc(C)cc2)c(O)c1"
"CHEMBL1900528";"TIOTROPIUM";"BRALTUS|SPIRIVA|SPIRIVA RESPIMAT|TIOTROPIUM|TIOTROPIUM CATION|TIOTROPIUM ION";"";"4.0";"Boehringer Ingelheim Pharmaceuticals Inc";"'-ium; -trop-'";"";"quaternary ammonium derivatives; atropine derivatives";"'-ium(-ium); -trop-(-trop-)'";"2004";"";"";"";"";"";"";"US-7056916-B2";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"1";"0";"Prescription Only";"C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12"
"CHEMBL184";"ACYCLOVIR";"ACICLOVIR|ACICLOVIRUM|ACYCLOVIR|AVACLYR|AVERT|AVIRAL|Aciclovir|Acycloguanosine|CLEARSORE|CYMEX ULTRA|Cyclovir|DUVIMEX|GERPEVIR|HERPETAD|LIPSORE|LYPSYL|NOVIRUS|NSC-645011|NSC-758477|RANOVIR|SITAVIG|SOOTHELIP|SORAWAY|VIRALIEF|VIRASORB|VIROVIR 200|VIROVIR 400|VIROVIR 800|Zovirax";"NSC-645011|NSC-758477";"4.0";"Cipla Ltd|Glaxosmithkline|Macleods Pharmaceuticals Ltd|Watson Laboratories Inc|Fougera Pharmaceuticals Inc|Actavis Mid Atlantic Llc|Taro Pharmaceuticals Usa Inc|Abbvie Inc|Mylan Pharmaceuticals Inc|Hospira Worldwide, Inc";"'-vir'";"1979";"antivirals: antivirals (acyclovir type)";"'-vir(-vir (-cyclovir))'";"1982";"J05AB01 | S01AD03 | D06BB53 | D06BB03";"J05AB - Nucleosides and nucleotides excl. reverse transcriptase inhibitors | S01AD - Antivirals | D06BB - Antivirals | D06BB - Antivirals";"J05A - DIRECT ACTING ANTIVIRALS | S01A - ANTIINFECTIVES | D06B - CHEMOTHERAPEUTICS FOR TOPICAL USE | D06B - CHEMOTHERAPEUTICS FOR TOPICAL USE";"J05 - ANTIVIRALS FOR SYSTEMIC USE | S01 - OPHTHALMOLOGICALS | D06 - ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE | D06 - ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE | S - SENSORY ORGANS | D - DERMATOLOGICALS | D - DERMATOLOGICALS";"Antiviral";"US-7223387-B2";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"1";"1";"1";"1";"0";"Prescription Only";"Nc1nc2c(ncn2COCCO)c(=O)[nH]1"
"CHEMBL3990029";"RISANKIZUMAB";"655066-01|ABBV-066|BI-655066|BI655066|RISANKIZUMAB|RISANKIZUMAB RZAA|RISANKIZUMAB-RZAA|Skyrizi";"655066-01|ABBV-066|BI655066";"4.0";"";"'-mab'";"2017";"monoclonal antibodies";"'-mab(-mab)'";"2019";"L04AC18";"L04AC - Interleukin inhibitors";"L04A - IMMUNOSUPPRESSANTS";"L04 - IMMUNOSUPPRESSANTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"";"None";"6:Antibody";"1";"0";"Single Stereoisomer";"0";"0";"1";"0";"0";"Prescription Only";""
"CHEMBL768";"ESMOLOL";"ASL-8052-001|ESMOLOL|Esmolol";"ASL-8052-001";"4.0";"Fresenius Kabi Usa Llc|Mylan Laboratories Ltd|Sagent Pharmaceuticals Inc|Hq Specialty Pharma Corp|Gland Pharma Ltd|American Regent Inc|Eugia Pharma Specialities Ltd|Baxter Healthcare Corp Anesthesia Critical Care|Hikma Pharmaceuticals Usa Inc|Mylan Institutional Llc";"'-olol'";"1983";"beta-blockers (propranolol type)";"'-olol(-olol)'";"1986";"C07AB09";"C07AB - Beta blocking agents, selective";"C07A - BETA BLOCKING AGENTS";"C07 - BETA BLOCKING AGENTS";"C - CARDIOVASCULAR SYSTEM";"Anti-Adrenergic (beta-receptor)";"US-8829054-B1";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"1";"0";"0";"Prescription Only";"COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1"
"CHEMBL1237123";"DOXACURIUM";"DOXACURIUM CATION|DOXACURIUM ION";"";"4.0";"Abbvie Inc";"'-ium'";"1990";"quaternary ammonium derivatives: neuromuscular blocking agents";"'-ium(-ium (-curium))'";"1991";"";"";"";"";"";"Neuromuscular Blocking Agent";"None";"1:Synthetic Small Molecule";"0";"0";"Racemic Mixture";"0";"0";"1";"0";"0";"Discontinued";"COc1cc(CC2c3c(cc(OC)c(OC)c3OC)CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCc3cc(OC)c(OC)c(OC)c3C2Cc2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC"
"CHEMBL1428";"NIMODIPINE";"ADMON|BAY E 9736|BAY-E-9736|NEMOTAN|NIMODIPINE|NIMODIPINE AP|NSC-758476|NYMALIZE|Nimotop|PERIPLUM";"BAY E 9736|BAY-E-9736|NSC-758476";"4.0";"Thepharmanetwork Llc|Sun Pharmaceutical Industries Inc|Sofgen Pharmaceuticals|Bionpharma Inc|Azurity Pharmaceuticals Inc|Heritage Pharmaceuticals Inc Dba Avet Pharmaceuticals Inc|Bayer Pharmaceuticals Corp";"'-dipine; -pine'";"1979";"phenylpyridine vasodilators; tricyclic compounds";"'-dipine(-dipine); -pine(-pine)'";"1988";"C08CA06";"C08CA - Dihydropyridine derivatives";"C08C - SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS";"C08 - CALCIUM CHANNEL BLOCKERS";"C - CARDIOVASCULAR SYSTEM";"Vasodilator";"US-7070581-B2";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"1";"0";"0";"1";"Prescription Only";"COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1"
"CHEMBL525076";"ENFUVIRTIDE";"DP-178|DP178|ENFUVIRTIDE|Fuzeon|Fuzeon T-20|PENTAFUSIDE (TRIVIAL NAME)|T-20|T20";"DP-178|DP178|T-20|T20";"4.0";"Hoffmann La Roche Inc";"'-tide; -vir-'";"2001";"peptides: antiviral peptides; antivirals";"'-tide(-tide (-virtide)); -vir-(-vir-)'";"2003";"J05AX07";"J05AX - Other antivirals";"J05A - DIRECT ACTING ANTIVIRALS";"J05 - ANTIVIRALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"";"None";"5:Oligopeptide";"0";"1";"Single Stereoisomer";"0";"0";"1";"0";"0";"Prescription Only";"CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(C)=O)[C@@H](C)O)[C@@H](C)CC)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C(N)=O"
"CHEMBL3989989";"AXICABTAGENE CILOLEUCEL";"AXICABTAGENE CILOLEUCEL|KTE-C19|YESCARTA";"KTE-C19";"4.0";"";"";"2016";"";"";"";"L01XX70";"L01XX - Other antineoplastic agents";"L01X - OTHER ANTINEOPLASTIC AGENTS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"";"None";"-1:Unknown";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";""
"CHEMBL1201558";"INTERFERON ALFA-2B";"INTERFERON ALFA-2B|Intron A|Intron A HSA-free|Intron-A|SCH 30500|SCH-30500|Viraferon";"SCH 30500|SCH-30500";"4.0";"";"";"1987";"";"";"1986";"L03AB05";"L03AB - Interferons";"L03A - IMMUNOSTIMULANTS";"L03 - IMMUNOSTIMULANTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"Antineoplastic; Biological Response Modifier";"None";"5:Oligopeptide";"0";"0";"Single Stereoisomer";"0";"0";"1";"0";"1";"Prescription Only";""
"CHEMBL606";"MISOPROSTOL";"Cytotec|MISOPROSTOL|MYSODELLE|SC-29333|TOPOGYNE";"SC-29333";"4.0";"Micro Labs Ltd|Acq Pharma Llc|Exela Holdings Inc|Sandoz Inc|Actavis Laboratories Fl Inc|Yung Shin Pharmaceutical Industrial Co Ltd|Amneal Pharmaceuticals|Novel Laboratories Inc|Ani Pharmaceuticals Inc|Pfizer Inc";"'-prost-'";"1981";"prostaglandins";"'-prost-(-prost-)'";"1988";"G02AD06 | A02BB01";"G02AD - Prostaglandins | A02BB - Prostaglandins";"G02A - UTEROTONICS | A02B - DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)";"G02 - OTHER GYNECOLOGICALS | A02 - DRUGS FOR ACID RELATED DISORDERS";"G - GENITO URINARY SYSTEM AND SEX HORMONES | A - ALIMENTARY TRACT AND METABOLISM";"Anti-Ulcerative";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"1";"1";"0";"0";"1";"Prescription Only";"CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC"
